job_title,job_link,date_posted,employer,salary,location,job_type,whole_body
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44136621?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-21,Mandeville Recruitment Group,"£35,000 - £40,000 per annum",South East England,FULL_TIME,"data analyst wanted for a an international hospitality/retail businesslocation: west londonsalary: £40k + competitive bonus and benefit packagejob role:to provide analytical support and daily management of the inhouse scheduling system, which combines data to generate optimal productivity. working alongside the group data analysts this role will provide accurate data and analysis supporting the development  of forecasting capability, leading to enhanced business profitability.*undertake analysis to understand the impact that the given content and data have on market share *identify trends in the business that require further analysis to improve understanding of changes ensuring accuracy in budgeting and forecasting of future expectations, whilst also identifying opportunities to maximise profitability*track competitor activity and ensure that any variances to forecast are understood and where appropriate addressed*provide analysis and input into forecast variances highlighted in monthly and weekly kpi reporting*manage and take ownership of databases ensuring that information is updated and mapping is maintained in order that different data sources can be linked for analysis purposescandidate profile:*significant experience in a planning and analysis role*proven ability in analysing and interpreting large volumes of data facilitating informed and robust business decisions*able to demonstrate examples of working cross functionally with other departments to achieve improved performance *it skills: advanced excel and knowledge and experience of access database (or similar)skills* analysing and interpreting data: highly numerate. balances analysis and intuition to make timely and appropriate judgements. *commercial acumen: able to assess commercial opportunities based on a broad understanding of markets and business issues and focus on those with the greatest potential*attention to detail: focused on the accuracy and quality of work through to completion*communication: excellent written and verbal communication skills, communicating effectively at all levels. *planning & organising: prioritise and schedules activities in order to maximise the use of time and resources. able to manage multiple tasks and deadlines and document large amounts of informationif this sounds like the ideal next job opportunity for you, and you possess the required experience, then submit your cv asap!mandeville is acting as an employment agency in relation to this vacancy."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44057613?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-15,Wilmington Plc,"£36,000 - £40,000 per annum",South East England,FULL_TIME,"wilmington plc are looking for a data analyst (using tableau/sql)data analyst (using tableau/sql)location: london / basildonsalary: up to £40k depending on locationterm: full time, permanentwhy do we want you?you have working experience of manipulating and analysing large numerical and text-based data sets and transferring them into bespoke user-friendly dashboards in tableau or similar. if you have sql as well that would be a huge bonus for us. you also enjoy autonomy and love working independently within a team and you have advanced excel skills. if this sounds like you, why not read on. a bit about us.wilmington plc is a company with a difference. over the years we’ve grown by acquisition and as such we have many unique businesses in our portfolio. here at wilmington plc we provide information and training to professional business markets via a portfolio of well known professional service brands. put simply, we enable professionals and their organisations to enhance performance by providing high quality,  relevant and reliable information, education and knowledge. main purpose of roleour fantastic team of data analysts cover a wide range of analytical activity to provide high quality insight and information reporting to a variety of clients across our diverse and interesting business portfolio. regular tasks include importing, cleaning, transforming, validating or modelling data with the purpose of understanding or making inferences for decision or management purposes. the job also includes presenting data in charts, tables or written reports,  and designing information solutions such as dashboards to present data to data users. you will predominantly be working with healthcare related datasets, but with a growing remit within the team, there is the opportunity to apply analytical techniques to a  variety of datasets held within the group. you will provide support to the analytical team and assist in the planning and allocation of tasks along with taking a lead role in liaising with clients and senior management staff within the group to establish user requirements as well as delivering quality  projects efficiently and on time. we attend regular team meetings and all like to contribute to the development of innovative and exciting analytical products for our clients. ideally we would like you to have expertise in understanding healthcare datasets including hes (hospital episode statistics), qof (quality and outcomes framework) and prescribing data as you will need to be up-to-date with datasets being analysed and develop  a clear understanding of the methodology behind them. the ability to be flexible and adaptable to a range of datasets and be able to apply analytical techniques to these is imperative. if this sounds like you and you feel this could be the new challenge you are seeking, why not apply? you have nothing to lose. skills and experience requiredessential skills and experience- excellent and advanced excel skills, including writing macros and transformation of data- experience of building bespoke dashboards in tableau (strongly preferred), or a similar bi tool- experience of manipulating and analysing large numerical and text-based data sets and transforming them into standardised, user friendly format- ability to undertake a variety of activities with a substantial degree of personal responsibility and autonomy. it is important to be able to work independently within a team.- develop initiatives for providing more efficient bespoke tools in excel and tableau- the ability to manage multiple projects, as well as meet time constraints and expectations.- designing new approaches to the presentation of the data- strong conceptual and problem-solving skills- effective verbal communication skills; strong analytical and technical writing skills- strong organisational skills (demonstrated ability to manage multiple projects and priorities- excellent interpersonal skills; ability to work as part of a multi-disciplinary team with minimal supervision desirable skills and experience- advanced excel with vba skills- intermediate to advanced tableau skills- project management experience, as a minimum the ability to manage delivery of work within stated timeframes- knowledge of healthcare industry and the nhs- knowledge of the pharmaceutical industry- powerpoint skills of a level to produce analysis presentations suitable for client delivery ""we are committed to equality, equality of opportunity and valuing diversity"""
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44003620?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-10,Applause IT,£250.00 - £300.00 per day,Lancashire,"FULL_TIME, CONTRACTOR","data analyst - £250 - £300 / day  blackburn applauseit are currently recruiting for a data analyst is to join one of the largest online value retailers in the uk, with extraordinary online presence and selling a vast array of products. the organisation is currently undertaking an exponential digital  transformation switch with the huge amounts of growth they have been experiencing.  the successful data analyst will have extensive experience with microsoft excel and mathematics background which will allow you to be versatile across the business in this exciting time. ideal skill set of the data analyst:  expertise with microsoft excela background in mathematicsgood understanding of databases please send cv now to george[at]applauseit[dot]co[uk] or call george postle on to find out more.  blackburn data analyst - £250 - £300 / day"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43946336?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-06,Harnham,"£50,000 - £60,000 per annum",South East England,FULL_TIME,"** data analyst up to £60,000 + benefits ** sql + excel if this is you apply with the link below! data analyst london up to £60,000 the company: management consultancy connecting data, people, policies, processes, and systems. delivering high-quality services to minimise risk and maximise reward. the role: reporting to the head of analytics, as a data analyst you will be working on large sets of complex data, making them easy to understand in order to inform decision making to drive business benefits. - produce data visualisations. - pinpointing data issues that affect the accuracy of analysis performed. - work closely with multiple different stakeholders. your skills and experience the successful data analyst will have the following skills and experience:  highly competent in sql and excel.be a great communicator with the ability to interact and fit into multiple different environments1/2 years experience as a data analyst the benefits: - up to £60,000 - 25 days holiday - pension contributions to register interest please send cv to oliver via the apply link on this page!"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44283499?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-10-05,Harnham,"£30,000 - £40,000 per annum",West Yorkshire,FULL_TIME,"data analyst leeds £30,000 - £40,000 exciting data analyst role at large commercial retail brand. the company harnham is partnered with a large retail brand who are acquiring a number of other businesses over the next 12 months. they are now looking for a data analyst to join an impactful team to work on a large project with finance, logistics, and marketing.  the role as a data analyst you will be working with a large amount of data, more specifically you can expect to be involved in:  supporting operations for business growthensuring stock is delivered on time to customersreporting warehouse performances your skills and experience the successful data analyst will have the following skills and experience:  strong sql skillsability to use powerbiprior experience in logistics or supply chain is advantageous benefits  discretionary bonuspensionhealthcare how to apply please register your interest by sending your cv to akaash suthakaran via the apply link below."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43837446?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-08-26,HW Select Ltd,"£40,000 - £60,000 per annum",South East England,FULL_TIME,"data analyst - web / internet / ecommerce - retail / leisure / restaurant data analyst is required for one of the leading restaurants in the world. the data analyst will have experience of of data analysis in the digital / internet or ecommerce space. as a data analyst some of your responsibilities will include; improving digital customer experience,  creating digital products to enhance customer experience develop new inovative ideas marketing / digital analytics experience you will be working within the marketing team within the analytics and strategy group using data to improve the customer journey and increase revenue, managing the web and app analytics you will work with business stakeholders, product owners, and technology leaders to design, support, implement, measure, test and manage consumer experience across all digital channels. this is an excellent opportunity for an analyst with a focus on the web and app space, with an excellent insight into interpreting large data sets to enhance customer journey. please forward your cv urgently."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43977350?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-08,Dovetail Recruitment Ltd,"£25,000 - £29,000 per annum, inc benefits",Dorset,FULL_TIME,"data analyst job in bournemouth dovetail recruitment have just taken on a new data analyst position with a bournemouth based company, recently names by the financial times as one of europe’s 1000 fastest growing companies. while they are growing quickly, they still maintain that people  focused, friendly family feel within their offices. this data analyst role will give the successful candidate a chance to develop within their career within a professional and client-focused organisation. salary & benefits:  salary range of £25,000-29,00024 days holiday plus bank holidaysperformance related annual bonusflexible working hourshybrid working arrangement duties & responsibilities:  optimise the structure and visualisation of data and reportsensure accuracy with all reportsdata administration and maintenancesupport the sales and account management teams with customer reporting requirementsprovide analytical support on projectsuse alteryx, tableau, and ms bi skills & experience:  the ability to present data to a wide range of stakeholdersexperience in automating reporting would be beneficialproactive with excellent time management skills this data analyst job in bournemouth would suit candidates with strong data manipulation and reporting skills who are keen to develop within a business. if you are interested in this data analyst job in bournemouth, please click on 'apply now’. alternatively, please visit our website."
Data Analyst ,https://www.reed.co.uk/jobs/data-analyst/43040467?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-07,Adria Solutions Ltd,"£50,000 - £60,000 per annum",Lancashire,FULL_TIME,"data analyst - manchester - £50k - £60k  interviewing and onboarding for this role will be going ahead remotely while covid-19 restrictions are in place. on behalf of our client, we are looking for a highly experienced data analyst in manchester. our client is constantly improving and developing new app features based on customer feedback and has won the award for best use of it in the past, so if you are  an exceptional data analyst looking to join a fast-paced and rapidly growing company this is the role for you! the data analyst will be required to:   find useful structured and unstructured data in our data warehouse and data lake; suggesting and designing extensions that will improve our capabilities.design, prototype, deliver and maintain reports in power bi.design, prototype, deliver and maintain models in tools like r/python/aws sagemaker, using data science toolkits like dplyr or ggplot2.be comfortable learning data transformation toolsbe comfortable working in an agile kanban workflow to safely code review, test and deploy solutions, using source control to manage changes.use data science techniques to identify and take advantage of commercial opportunities, delivering more targeted acquisition, successful customer/portfolio management, and product performance. benefits for the successful applicant:  this is a great opportunity for a senior data analyst to join a company who strongly believe in the development of its employees and you will be rewarded with a generous benefits package:  flexible working and remote working opportunitiesgym membershipfree parking how to apply if you’re interested in this job:  if this sounds like your perfect role, click apply without delay! data analyst - manchester - £50k - £60k  interviewing and onboarding for this role will be going ahead remotely while covid-19 restrictions are in place."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43890975?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-01,Harnham,£375.00 - £425.00 per day,South East England,"FULL_TIME, CONTRACTOR","data analyst£375-£425 per day (outside ir35)3 months (initial)retailremote harnham have partnered with a global retailer that is looking for a data analyst that can support them in a greenfield project looking to develop insights from customer service centre data. the companythis global retailer is an institution of the high street and is now a major player in ecommerce. the company has also been seen as a step ahead of the competition when it comes to investing in data & tech. as a data analyst, you'll play a key role in leading  a new greenfield project looking to examine customer service centre data! the role and responsibilitiesas a data analyst your key objective is to spot insights and trends from customer service centre data and build recommendations off of this to reduce churn. day to day this may include:  working with sql and sas to build segmentation modelsdeveloping churn modelsspotting trends using predictive analysisengage with other teams to develop creative solutionsgather requirements from senior stakeholders your skills and experiencea successful data analyst will have the following:  strong sql and sasability to work across descriptive and prescriptive analyticsa background in developing insights and trends through data in a strong consumer-led industryexperience working with customer service centre data beneficialstrong stakeholder management skills the benefitsonce placed a data analyst can expect to receive between £375 and £425 per day outside ir35 on an initial 3-month assignment. the role is also fully remote, and you will get the opportunity to join a pivotal greenfield project. please note, whilst this role is remote it is only open to candidates with the right to work and permeant residence in the united kingdom. keywords: customer service centre analysis, data, analytics, analysis, analysts, demand, prediction"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43917289?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-03,Harnham,"£30,000 - £40,000 per annum",South East England,FULL_TIME,"data analystsql / tableau / power bi £30,000 - £40,000london a high-growth start-up are looking to make their first in-house data hire. the company: the business operates a chain of nurseries across london and the home counties and have more than doubled their offering in the past year. they have further plans to expand ten-fold and are on track to become one of the fastest-growing businesses in the  uk this year. they've implemented a modern data stack and the successful data analyst will be responsible for owning the reporting and data functionality across the business. the role: as the first in-house data hire, the successful data analyst will be responsible for providing deep insight and automated reporting across the business. in specific, you can expect to be involved in the following:  building reports and kpi dashboards using tableau.work across the business to gather requirements and turn these into actionable insights.owning the data functionality across the business and eventually building out a team. your skills and experience: the successful data analyst will have the following skills and experience:  commercial experience using data visualisation tools such as power bi or tableau.excellent proficiency in sql.excellent stakeholder management skills.ability to translate technical information to non-technical audiences.stem degree. the benefits: the successful data analyst will receive a salary of up to £40,000 dependent on experience, plus access to a market-leading benefits package. how to apply: please register your interest by sending your cv to maddie mckechnie via the apply link at the bottom of this page."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44115867?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-20,Red Recruitment,Salary negotiable,Avon,FULL_TIME,"data analyst - avonmouth, bristol - competitive salary - immediate start - full time permanent opportunity we are working with a well-known british retailer in their latest data analyst vacancy in avonmouth. our client have a vacancy within their sales operation team where you will be responsible for timely periodic reporting and commercial analysis to senior  stakeholders across the business. data analyst responsibilities;  production of weekly trade pack including sales, orders and marginkpi analysis and performance reviewidentify areas to improve processes, data quality and system serviceabilitytaking the lead on projects to automate various manual processesreviewing and analysing trends to identify areas of opportunities and riskworking closely with the commercial finance team in creation of various reporting using power bi and excel the successful candidate will have knowledge of working in an analytical role, with strong it skills particularly excel and power bi. if you are looking for a new and challenging role then please do send your cv through today. job title: data analyst location: avonmouth hours: monday - friday"
